scientificName,taxonConceptID,dataResourceUid,stateProvince,country,zones
Hydnophytum moseleyanum,https://id.biodiversity.org.au/node/apni/2887261,dr376,Queensland,Australia,
Hydnophytum moseleyanum var. moseleyanum,https://id.biodiversity.org.au/node/apni/2896519,dr15867,Queensland,Australia,
Hydriastele costata,https://id.biodiversity.org.au/node/apni/2887019,dr15860,Queensland,Australia,
Hydriastele costata,https://id.biodiversity.org.au/node/apni/2887019,dr15867,Queensland,Australia,
Hydriastele costata,https://id.biodiversity.org.au/node/apni/2887019,dr15868,Queensland,Australia,
Hydriastele costata,https://id.biodiversity.org.au/node/apni/2887019,dr364,Queensland,Australia,
Hydrobates matsudairae,urn:lsid:biodiversity.org.au:afd.taxon:39371b35-c1cd-4231-8e95-f768c47fe41c,dr2009,Western Australia,Australia,
Hydrobates matsudairae,urn:lsid:biodiversity.org.au:afd.taxon:39371b35-c1cd-4231-8e95-f768c47fe41c,dr359,Western Australia,Australia,
Hydrocotyle corynophora,https://id.biodiversity.org.au/node/apni/2912286,dr15863,Western Australia,Australia,
Hydrocotyle corynophora,https://id.biodiversity.org.au/node/apni/2912286,dr376,Western Australia,Australia,
Hydrocotyle grammatocarpa,https://id.biodiversity.org.au/node/apni/2891252,dr15863,Western Australia,Australia,
Hydrocotyle grammatocarpa,https://id.biodiversity.org.au/node/apni/2891252,dr15865,Western Australia,Australia,
Hydrocotyle lemnoides,https://id.biodiversity.org.au/node/apni/2909154,dr15860,Western Australia,Australia,
Hydrocotyle lemnoides,https://id.biodiversity.org.au/node/apni/2909154,dr15863,Western Australia,Australia,
Hydrocotyle muriculata,https://id.biodiversity.org.au/node/apni/2889714,dr15860,Western Australia,Australia,
Hydrocotyle muriculata,https://id.biodiversity.org.au/node/apni/2889714,dr15863,Western Australia,Australia,
Hydrocotyle muriculata,https://id.biodiversity.org.au/node/apni/2889714,dr376,Western Australia,Australia,
Hydrocotyle sp. Coorowensis (P.G.Wilson 12580),https://id.biodiversity.org.au/node/apni/2905938,dr15860,Western Australia,Australia,
Hydrocotyle sp. Decipiens (G.J.Keighery 463),https://id.biodiversity.org.au/node/apni/2911870,dr15860,Western Australia,Australia,
Hydrocotyle sp. Hamelinensis (G.J.Keighery s.n. (PERTH 02391325)),https://id.biodiversity.org.au/node/apni/2893323,dr15860,Western Australia,Australia,
Hydrocotyle sp. Hexaptera (T.Erickson TEE 173),https://id.biodiversity.org.au/node/apni/2899542,dr15860,Western Australia,Australia,
Hydrocotyle sp. Vigintimilia (P.G.Wilson 7940),https://id.biodiversity.org.au/node/apni/2915078,dr15860,Western Australia,Australia,
Hydrocotyle sp. Vigintimilia (P.G.Wilson 7940),https://id.biodiversity.org.au/node/apni/2915078,dr15863,Western Australia,Australia,
Hydrocotyle striata,https://id.biodiversity.org.au/node/apni/2894412,dr15863,Western Australia,Australia,
Hydrolea zeylanica,https://id.biodiversity.org.au/node/apni/2918120,dr15861,Western Australia,Australia,
Hydrolea zeylanica,https://id.biodiversity.org.au/node/apni/2918120,dr15863,Western Australia,Australia,
Hydrolea zeylanica,https://id.biodiversity.org.au/node/apni/2918120,dr376,Western Australia,Australia,
Hydromys chrysogaster,urn:lsid:biodiversity.org.au:afd.taxon:9baa55f2-69c1-486c-91f7-f96e58b7c945,dr341,Western Australia,Australia,
Hydromys chrysogaster,urn:lsid:biodiversity.org.au:afd.taxon:9baa55f2-69c1-486c-91f7-f96e58b7c945,dr344,Western Australia,Australia,
Hydromys chrysogaster,urn:lsid:biodiversity.org.au:afd.taxon:9baa55f2-69c1-486c-91f7-f96e58b7c945,dr346,Western Australia,Australia,
